Complaint Number,Major Crime Head,Crime Head and Section,Minor Crime Head,Commits,Month
747514985,MOLESTATION ,Sec.354 IPC,Attempt to Commit,6,Aug-20
194113109,MOLESTATION ,Sec.354 IPC,Private Place,56,Aug-20
929168316,MOLESTATION ,Sec.354 IPC,Public Conveyance,1,Aug-20
386735425,MOLESTATION ,Sec.354 IPC,Public Place,111,Aug-20
517027395,MOLESTATION ,Sec.354 IPC,Other Places,166,Aug-20
887262467,POISONING-PROFESSIONAL ,Sec. 328 IPC,Others,nan,Aug-20
987333752,POISONING-PROFESSIONAL ,Sec. 328 IPC,Attempt to Commit,0,Aug-20
863777113,POISONING-PROFESSIONAL ,Sec. 328 IPC,Fatal,0,Aug-20
530634426,POISONING-PROFESSIONAL ,Sec. 328 IPC,Non Fatal,0,Aug-20
134231602,PORNOGRAPHY ,Sec.292 to 294 IPC,Others,2,Aug-20
825672350,PORNOGRAPHY ,Sec.292 to 294 IPC,Advertisement,0,Aug-20
377067124,PORNOGRAPHY ,Sec.292 to 294 IPC,Audio Tape,0,Aug-20
659584274,PORNOGRAPHY ,Sec.292 to 294 IPC,Book,0,Aug-20
103859267,PORNOGRAPHY ,Sec.292 to 294 IPC,Computer Software,0,Aug-20
362239496,PORNOGRAPHY ,Sec.292 to 294 IPC,Figures,0,Aug-20
277995616,PORNOGRAPHY ,Sec.292 to 294 IPC,Film (Blue),0,Aug-20
836989457,PORNOGRAPHY ,Sec.292 to 294 IPC,Painting,0,Aug-20
750613295,PORNOGRAPHY ,Sec.292 to 294 IPC,Pamphlet,0,Aug-20
946944807,PORNOGRAPHY ,Sec.292 to 294 IPC,Paper,1,Aug-20
997378692,PORNOGRAPHY ,Sec.292 to 294 IPC,Photography,0,Aug-20
807101911,PORNOGRAPHY ,Sec.292 to 294 IPC,Poster,0,Aug-20
273349096,PORNOGRAPHY ,Sec.292 to 294 IPC,Video Film(Blue),0,Aug-20
656287358,PUBLIC JUSTICE ,Sec.213 to 215 IPC,Others,0,Aug-20
230039867,PUBLIC NUISANCE ,Sec.291 and 510 IPC,Others,2,Aug-20
232608961,PUBLIC SAFETY ,"Sec.269 to 271, 277, 283, 289
IPC",Others,176,Aug-20
793149506,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Others,nan,Aug-20
118343438,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Attempt to Commit,0,Aug-20
781794955,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Defence Personnel,0,Aug-20
748023227,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Jail Personnel,0,Aug-20
588334015,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Judicial Official,0,Aug-20
997859090,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Minister,0,Aug-20
533556160,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",MLA,0,Aug-20
846509913,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",MP,0,Aug-20
457137769,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Nationalised Bank Personnel,1,Aug-20
115412401,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Other Elected Member,0,Aug-20
867595715,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Other Enforcement Official,0,Aug-20
300529150,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Other Govt. Official,46,Aug-20
999666847,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Para Military Personnel,0,Aug-20
308996762,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Police Personnel,28,Aug-20
953997279,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Public Sector Undertaking Official,5,Aug-20
983583151,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Others,nan,Aug-20
164788557,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Defence Personnel,0,Aug-20
996274807,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Jail Personnel,0,Aug-20
966114220,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Judicial Official,0,Aug-20
782357883,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Minister,0,Aug-20
220252516,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",MLA,0,Aug-20
160560210,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",MP,0,Aug-20
580361825,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Nationalised Bank Personnel,0,Aug-20
554164636,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Other Elected Member,0,Aug-20
855001414,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Other Enforcement Official,0,Aug-20
175710417,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Other Govt. Official,0,Aug-20
944670096,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Para Military Personnel,0,Aug-20
907867681,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Police Personnel,0,Aug-20
873706465,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Public Sector Undertaking Official,0,Aug-20
769966652,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Others,0,Aug-20
761537798,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Others,nan,Aug-20
518031687,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Animal -Related,1,Aug-20
618547028,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Boat/Vessel - Related,1,Aug-20
920336568,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Explosive/Explosive Substances - Related,1,Aug-20
893935640,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Inflammable Substance- Related,0,Aug-20
308155770,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Machinery - Related,14,Aug-20
754572818,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Poisonous Substance - Related,0,Aug-20
809081683,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Other - Related,131,Aug-20
516507225,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Human - Related,36,Aug-20
780675691,RECEIVING OF STOLEN PROPERTY ,"Sec.411 to
414 IPC",Others,0,Aug-20
717455506,SEDITION ,Sec. 124A IPC,Others,nan,Aug-20
702130005,SEDITION ,Sec. 124A IPC,Attempt to Commit,0,Aug-20
876624229,SEDITION ,Sec. 124A IPC,By Foreigner,0,Aug-20
547411068,SEDITION ,Sec. 124A IPC,By National,0,Aug-20
844062736,SEDITION ,Sec. 124A IPC,By National And Foreigner,0,Aug-20
814802109,INSULTING MODESTY OF WOMEN ,"EVE
TEASING) (Sec.509 IPC",Others,nan,Aug-20
344932699,INSULTING MODESTY OF WOMEN ,"EVE
TEASING) (Sec.509 IPC",Attempt to Commit,0,Aug-20
315604719,INSULTING MODESTY OF WOMEN ,"EVE
TEASING) (Sec.509 IPC",Office,0,Aug-20
739582747,INSULTING MODESTY OF WOMEN ,"EVE
TEASING) (Sec.509 IPC",Public Conveyance,0,Aug-20
558627342,INSULTING MODESTY OF WOMEN ,"EVE
TEASING) (Sec.509 IPC",Public Place,1,Aug-20
164346027,INSULTING MODESTY OF WOMEN ,"EVE
TEASING) (Sec.509 IPC",Other Places,4,Aug-20
372185354,SUICIDE ,"Sec.305, 306, 309 IPC",Others,nan,Aug-20
827774537,SUICIDE ,"Sec.305, 306, 309 IPC",Dowry,0,Aug-20
513775801,SUICIDE ,"Sec.305, 306, 309 IPC",Abetment of Suicide,31,Aug-20
896157585,SUICIDE ,"Sec.305, 306, 309 IPC",Other Reasons,25,Aug-20
863586733,SUICIDE ,"Sec.305, 306, 309 IPC",Attempt to Commit suicide,4,Aug-20
365035101,UNNATURAL SEX ,Sec.377 IPC,Others,nan,Aug-20
996161518,UNNATURAL SEX ,Sec.377 IPC,Abetment,0,Aug-20
420510949,UNNATURAL SEX ,Sec.377 IPC,Animal,1,Aug-20
935783813,UNNATURAL SEX ,Sec.377 IPC,Attempt,0,Aug-20
562585681,UNNATURAL SEX ,Sec.377 IPC,Major - Man,0,Aug-20
301473617,UNNATURAL SEX ,Sec.377 IPC,Major - Woman,0,Aug-20
247314503,UNNATURAL SEX ,Sec.377 IPC,Minor - Boy,0,Aug-20
848165163,UNNATURAL SEX ,Sec.377 IPC,Minor - Girl,0,Aug-20
698393488,"WRONGFUL RESTRAINT/CONFINEMENT
",Sec.341 to 348 IPC,Others,28,Aug-20
353397621,"WRONGFUL RESTRAINT/CONFINEMENT
",Sec.341 to 348 IPC,Attempt to Commit,1,Aug-20
926743783,"WRONGFUL RESTRAINT/CONFINEMENT
",Sec.341 to 348 IPC,To Extort Confession,0,Aug-20
274345444,"WRONGFUL RESTRAINT/CONFINEMENT
",Sec.341 to 348 IPC,To Extort Property,5,Aug-20
199977975,"WRONGFUL RESTRAINT/CONFINEMENT
",Sec.341 to 348 IPC,To settle Dispute,0,Aug-20
844304015,INFANTICIDE ,"Sec.315, 316 IPC",Others,nan,Aug-20
664559435,INFANTICIDE ,"Sec.315, 316 IPC",Male,0,Aug-20
791591652,INFANTICIDE ,"Sec.315, 316 IPC",Female,0,Aug-20
674561868,OFFENCES RELATED TO MARRIAGE ,"Sec.493
to 498 IPC",Others,2,Aug-20
416418489,"BUYING & SELLING MINOR FOR PROSTITUTION
","Sec.372, 373 IPC",Others,0,Aug-20
587898486,DOCUMENTS & PROPERTY MARKS ,"Sec.483 to
489 IPC",Others,nan,Aug-20
807610809,DOCUMENTS & PROPERTY MARKS ,"Sec.483 to
489 IPC",Documents,0,Aug-20
279787836,DOCUMENTS & PROPERTY MARKS ,"Sec.483 to
489 IPC",Property,0,Aug-20
884512055,DEFAMATION ,Sec.500 to 502 IPC,Others,nan,Aug-20
443311040,DEFAMATION ,Sec.500 to 502 IPC,Persons,2,Aug-20
617019299,DEFAMATION ,Sec.500 to 502 IPC,Printed Matter,0,Aug-20
248509043,DEFAMATION ,Sec.500 to 502 IPC,Others,0,Aug-20
843800441,ELECTION,Sec.171(E) to 171(1) IPC,Others,nan,Aug-20
157028227,ELECTION,Sec.171(E) to 171(1) IPC,Assembly,0,Aug-20
969037423,ELECTION,Sec.171(E) to 171(1) IPC,Parliament,0,Aug-20
774301686,ELECTION,Sec.171(E) to 171(1) IPC,Other Elected Bodies,0,Aug-20
442647811,SLAVERY ,"Sec.370, 371, 374 IPC",Others,nan,Aug-20
475710542,SLAVERY ,"Sec.370, 371, 374 IPC",Man,0,Aug-20
869934286,SLAVERY ,"Sec.370, 371, 374 IPC",Woman,0,Aug-20
320927700,SLAVERY ,"Sec.370, 371, 374 IPC",Boy,0,Aug-20
422826347,SLAVERY ,"Sec.370, 371, 374 IPC",Girl,0,Aug-20
467737624,Attempting to commit offences ,Sec.511 IPC,Others,nan,Aug-20
410507658,Attempting to commit offences ,Sec.511 IPC,Attempting to commit offences,10,Aug-20
217542365,ILLEGAL DETENTION ,Sec.342 IPC,Others,0,Aug-20
668003085,FALSE EVIDENCE ,Sec.191 to 205 IPC,Others,1,Aug-20
673682507,"EXPOSURE AND ABANDONMENT OF CHILD
",Sec.317 IPC,Others,nan,Aug-20
931238317,"EXPOSURE AND ABANDONMENT OF CHILD
",Sec.317 IPC,Boy,3,Aug-20
768737831,"EXPOSURE AND ABANDONMENT OF CHILD
",Sec.317 IPC,Girl,5,Aug-20
587338009,OF ABETMENT ,Sec.107 to 120 IPC,Others,0,Aug-20
789946664,FAILURE TO APPEAR TO COURT ,"Sec.174, 229A
IPC",Others,nan,Aug-20
178757185,FAILURE TO APPEAR TO COURT ,"Sec.174, 229A
IPC",174 A,0,Aug-20
756067443,FAILURE TO APPEAR TO COURT ,"Sec.174, 229A
IPC",229 A,3,Aug-20
738590188,Concealment of birth by secret disposal of Child,,Others,nan,Aug-20
454379455,Concealment of birth by secret disposal of Child,,Girl,1,Aug-20
485781298,Concealment of birth by secret disposal of Child,,Boy,2,Aug-20
710383527,"ASSAULT OR USE OF CRIMINAL FORCE TO
DISROBE WOMEN",,Others,0,Aug-20
295603376,"Disobedience to Order Promulgated by
Public/Servant",,Others,nan,Aug-20
339886351,"Disobedience to Order Promulgated by
Public/Servant",,By Private Institution,24,Aug-20
582276505,"Disobedience to Order Promulgated by
Public/Servant",,By Govt. Institution,0,Aug-20
352291819,"Disobedience to Order Promulgated by
Public/Servant",,By Others,22,Aug-20
576139156,ANTIQUES ,CULTURAL PROPERTY,Others,nan,Aug-20
900412811,ANTIQUES ,CULTURAL PROPERTY,Antiques & Art Treasures Act 1972,0,Aug-20
271653301,ANTIQUES ,CULTURAL PROPERTY,"Ancient Monument & Archaelogical Sites AndRemains Act 1958",0,Aug-20
473752312,ARMS ACT 1959,,Others,nan,Aug-20
803915853,ARMS ACT 1959,,"Country Made - Non Prohibited Bore - In DisturbedArea",2,Aug-20
198415373,ARMS ACT 1959,,"Country Made - Non Prohibited Bore - In OtherArea",5,Aug-20
994903103,ARMS ACT 1959,,"Country Made - Prohibited Bore - In DisturbedArea",1,Aug-20
169528222,ARMS ACT 1959,,Country Made - Prohibited Bore - In Other Area,5,Aug-20
258740045,ARMS ACT 1959,,"Factory Made - Non Prohibited Bore - In DisturbedArea",0,Aug-20
159704848,ARMS ACT 1959,,Factory Made - Non Prohibited Bore - In Other Area,0,Aug-20
533814384,ARMS ACT 1959,,Factory Made - Prohibited Bore - In Disturbed Area,0,Aug-20
745244086,ARMS ACT 1959,,Factory Made - Prohibited Bore - In Other Area,2,Aug-20
662601728,ANIMAL,,Others,nan,Aug-20
156467475,ANIMAL,,Wild Life Preservation Act 1972,0,Aug-20
706490150,ANIMAL,,Wild Life Protection Act 1972,0,Aug-20
702175814,ANIMAL,,Prevention of Cruelty to Animals Act 1960,21,Aug-20
418937257,ANIMAL,,Elephant (Preservation) Act 1879,0,Aug-20
353054225,ANIMAL,,Cattle Tresspass Act 1871,0,Aug-20
575792043,CINEMATOGRAPHY ACT 1952,,Others,nan,Aug-20
685903463,CINEMATOGRAPHY ACT 1952,,Films,0,Aug-20
733737696,CINEMATOGRAPHY ACT 1952,,Video,0,Aug-20
714028602,CONSUMER,,Others,nan,Aug-20
524939257,CONSUMER,,"Liquified Petroleum Gas Supply & Control Order2000",0,Aug-20
973123718,CONSUMER,,Consumer (Protection) Act 1986,0,Aug-20
666400304,CONSUMER,,Essential Commodities Act 1955,46,Aug-20
484877943,CONSUMER,,Prevention of Food Adulternation Act 1954,0,Aug-20
630503645,CONSUMER,,Packaged Commodities (Regulation) order 1975,0,Aug-20
597592737,COPY RIGHT ACT 1957,,Others,nan,Aug-20
148947488,COPY RIGHT ACT 1957,,By Company,6,Aug-20
529682976,COPY RIGHT ACT 1957,,By Individual,0,Aug-20
797952587,CIVIL RIGHTS,,Others,nan,Aug-20
849162216,CIVIL RIGHTS,,Protection of Civil Rights Act 1955,0,Aug-20
550228244,"SCHEDULED CASTE AND THE SCHEDULED
TRIBES",,Others,nan,Aug-20
751815276,"SCHEDULED CASTE AND THE SCHEDULED
TRIBES",,Scheduled Caste,74,Aug-20
522224819,"SCHEDULED CASTE AND THE SCHEDULED
TRIBES",,Scheduled Tribes,11,Aug-20
377175661,"SCHEDULED CASTE AND THE SCHEDULED
TRIBES",,Scheduled Caste Women,22,Aug-20
479132270,"SCHEDULED CASTE AND THE SCHEDULED
TRIBES",,Scheduled Tribes Women,5,Aug-20
749476377,CHILDREN ACT,,Others,nan,Aug-20
779588430,CHILDREN ACT,,Child Labour (Prohibition & Regulation) Act1986,4,Aug-20
520900172,CHILDREN ACT,,The Prohibition of Child Marriage Act - 2006,15,Aug-20
207829197,CHILDREN ACT,,Juvenile Justice Act 1986,0,Aug-20
322107510,CHILDREN ACT,,Probation of offenders Act 1958,0,Aug-20
238896682,CHILDREN ACT,,"Protection of Children from Sexual Offences Act2012 (POCSO)",0,Aug-20
218036201,PREVENTION OF CORRUPTION ACT 1988,,Others,nan,Aug-20
950529432,PREVENTION OF CORRUPTION ACT 1988,,Public Servant - Elected,0,Aug-20
629787480,PREVENTION OF CORRUPTION ACT 1988,,Public Servant - Gazetted - Central,0,Aug-20
447724774,PREVENTION OF CORRUPTION ACT 1988,,Public Servant - Gazetted - Defence,0,Aug-20
461834758,PREVENTION OF CORRUPTION ACT 1988,,"Public Servant - Gazetted - Public SectorUndertaking",0,Aug-20
859822750,PREVENTION OF CORRUPTION ACT 1988,,Public Servant - Gazetted - State,0,Aug-20
881730521,PREVENTION OF CORRUPTION ACT 1988,,Public Servant - Non-Gazetted - Central,0,Aug-20
789237268,PREVENTION OF CORRUPTION ACT 1988,,Public Servant - Non-Gazetted - Defence,0,Aug-20
211199468,PREVENTION OF CORRUPTION ACT 1988,,Public Servant - Non-Gazetted - State,0,Aug-20
547219774,CUSTOMS,,Others,nan,Aug-20
260316052,CUSTOMS,,Customs Act 1962,0,Aug-20
514609115,CUSTOMS,,Import/Export (Control) Act 1947,0,Aug-20
344215794,Explosives,,Others,nan,Aug-20
374680240,Explosives,,Explosives Substances Act 1908,5,Aug-20
181790332,Explosives,,Explosives Act 1884,3,Aug-20
217304938,Explosives,,Inflammable Substance Act 1952,0,Aug-20
732482977,FOREIGN EXCHANGE,,Others,nan,Aug-20
180243363,FOREIGN EXCHANGE,,"Smugglers and Foreign Exchange Manipulator Act1976",0,Aug-20
290207532,FOREIGN EXCHANGE,,Foreign Exchange Regulation Act 1973,0,Aug-20
707279502,FOREIGN EXCHANGE,,Foreign Exchange Regulation Act 1952,0,Aug-20
706486985,FOREIGNER,,Others,nan,Aug-20
948730300,FOREIGNER,,Foreigners Act 1946,11,Aug-20
339363075,FOREIGNER,,Registration of Foreigners Act 1939,0,Aug-20
486983520,FOREST,,Others,nan,Aug-20
960331737,FOREST,,Indian Forest Act 1927,0,Aug-20
964035073,FOREST,,Forest (Conservation) Act 1980,1,Aug-20
340236622,HIJACKING,,Others,nan,Aug-20
540426406,HIJACKING,,Foreign Aircraft - In India,0,Aug-20
510439347,HIJACKING,,Foreign Aircraft - Outside India,0,Aug-20
634593319,HIJACKING,,Indian Aircraft - In India,0,Aug-20
197205869,HIJACKING,,Indian Aircraft - Outside India,0,Aug-20
556609187,IMMORAL TRAFFIC,,Others,nan,Aug-20
339431227,IMMORAL TRAFFIC,,Organised,9,Aug-20
328569692,IMMORAL TRAFFIC,,Un-Organised,8,Aug-20
425102901,BONDED LABOUR SYSTEM,,Others,2,Aug-20
751512670,INDIAN MOTOR VEHICLE,,Others,0,Aug-20
857043679,"NARCOTIC DRUGS & PSYCHOTROPIC
SUBSTANCES ACT",,Others,nan,Aug-20
738896752,"NARCOTIC DRUGS & PSYCHOTROPIC
SUBSTANCES ACT",,Cultivated/Processed,487,Aug-20
980030016,"NARCOTIC DRUGS & PSYCHOTROPIC
SUBSTANCES ACT",,Synthetic,163,Aug-20
270470210,PASSPORT ACT,,Others,nan,Aug-20
447586773,PASSPORT ACT,,Foreigner,1,Aug-20
728843205,PASSPORT ACT,,Indian,1,Aug-20
645307258,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,,Others,nan,Aug-20
129415952,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,,Assembly,0,Aug-20
800349857,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,,Parliament,0,Aug-20
398651073,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,,Other Elected Bodies,0,Aug-20
775337287,KARNATAKA POLICE ACT 1963,,Others,nan,Aug-20
815488530,KARNATAKA POLICE ACT 1963,,Gambling - Matka (78 Class C),485,Aug-20
355688827,KARNATAKA POLICE ACT 1963,,Street Gambling (87),563,Aug-20
365994632,KARNATAKA POLICE ACT 1963,,House Gambling (79 & 80),29,Aug-20
539705545,KARNATAKA POLICE ACT 1963,,Betting,3,Aug-20
410221489,KARNATAKA POLICE ACT 1963,,Others,24,Aug-20
615898314,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY
ACT 1984",,Others,8,Aug-20
786503416,"POST & TELEGRAPH, TELEGRAPH WIRES
",UNLAWFUL POSSESSION) ACT 1980,Others,0,Aug-20
877233213,OFFICIAL SECURITY RELATED ACTS,,Others,nan,Aug-20
583840738,OFFICIAL SECURITY RELATED ACTS,,Official Secrets Act 1923,0,Aug-20
330852680,OFFICIAL SECURITY RELATED ACTS,,Essential Services Maintenance Act 1981,0,Aug-20
821057239,PREVENTION OF TERRORISM ACT ,POTA,Others,0,Aug-20
991469232,RAILWAYS ACT,,Others,nan,Aug-20
529819623,RAILWAYS ACT,,Indian Railways Act 1989,0,Aug-20
537795583,RAILWAYS ACT,,Railway Property (Unlawful Possession) Act 1966,0,Aug-20
385974500,UNLAWFUL ACTIVITIES ,Prevention) Act 1967,Others,0,Aug-20
448499291,CRIMES RELATED TO WOMEN,,Others,nan,Aug-20
362903414,CRIMES RELATED TO WOMEN,,Dowry Prohibition,142,Aug-20
793590875,CRIMES RELATED TO WOMEN,,Commission of SATI (Prevention) Act 1987,0,Aug-20
110908536,CRIMES RELATED TO WOMEN,,"Indecent Representation of Women (Prohibition) Act1986",0,Aug-20
899447677,INDIAN LUNACY ACT,,Others,0,Aug-20
117632472,INDIAN ELECTRICITY ACT,,Others,2,Aug-20
857192392,"COTPA, CIGARETTES AND OTHER TOBACCO
PRODUCTS",,Others,7,Aug-20
331598641,KARNATAKA STATE LOCAL ACTS,,Others,nan,Aug-20
313471935,KARNATAKA STATE LOCAL ACTS,,Karnataka Epidemic Deseases Act 2020,0,Aug-20
928661977,KARNATAKA STATE LOCAL ACTS,,"The Karnataka Prevention of Dangerous Activitiesof Bootleggers, Drug-offenders, Gamblers, GoondaAct",0,Aug-20
812601382,KARNATAKA STATE LOCAL ACTS,,Karnataka Cow Slaughters Act,53,Aug-20
180680670,KARNATAKA STATE LOCAL ACTS,,Disaster Management Act 2005,0,Aug-20
753191999,KARNATAKA STATE LOCAL ACTS,,Karnataka Excise Act 1965,298,Aug-20
289182817,KARNATAKA STATE LOCAL ACTS,,Karnataka Forest Act 1963,10,Aug-20
378973692,KARNATAKA STATE LOCAL ACTS,,"Karnataka Education Act 1983 As Amended UptoDate",1,Aug-20
159419285,KARNATAKA STATE LOCAL ACTS,,Karnataka Kerosene Restriction Unuse Act 1956,0,Aug-20
478417024,KARNATAKA STATE LOCAL ACTS,,Karnataka University Act,0,Aug-20
362565804,KARNATAKA STATE LOCAL ACTS,,Karnataka Corruption Act,0,Aug-20
205311205,KARNATAKA STATE LOCAL ACTS,,Karnataka Medical Registration Act 1965,1,Aug-20
952935971,KARNATAKA STATE LOCAL ACTS,,Karnataka Land & Revenue Acdt 1964 & 2007,6,Aug-20
868376777,KARNATAKA STATE LOCAL ACTS,,Karnataka Kerosene Dealers License Order 1969,0,Aug-20
289797589,KARNATAKA STATE LOCAL ACTS,,Karnataka Society Registration Act,0,Aug-20
923439490,KARNATAKA STATE LOCAL ACTS,,Karnataka Minor Mineral Consistent Rule 1994,7,Aug-20
460959464,KARNATAKA STATE LOCAL ACTS,,Bangalore Development Authority Act,0,Aug-20
979025120,KARNATAKA STATE LOCAL ACTS,,Karnataka Prohibition of Beggery Act 1975,0,Aug-20
201547278,KARNATAKA STATE LOCAL ACTS,,Karnataka Municipalities Act 1964,0,Aug-20
983564514,KARNATAKA STATE LOCAL ACTS,,Karnataka Irrigation Act 1963,2,Aug-20
393386224,KARNATAKA STATE LOCAL ACTS,,Karnataka Fire Force act 1964,0,Aug-20
302259897,KARNATAKA STATE LOCAL ACTS,,Karnataka Consumer Protection Act 1986,0,Aug-20
629629405,KARNATAKA STATE LOCAL ACTS,,Karnataka Lottery Act,1,Aug-20
786813797,KARNATAKA STATE LOCAL ACTS,,Karnataka Weight & Measurement Act,0,Aug-20
965409394,KARNATAKA STATE LOCAL ACTS,,Karnataka Agriculture Marketing Regulation Act,1,Aug-20
410429785,KARNATAKA STATE LOCAL ACTS,,Karnataka Revenue Act,1,Aug-20
217541731,KARNATAKA STATE LOCAL ACTS,,Karnataka Mining Act,1,Aug-20
719954831,KARNATAKA STATE LOCAL ACTS,,Karnataka Betting Tax Act,0,Aug-20
767857150,KARNATAKA STATE LOCAL ACTS,,Karnataka Panchayat Raj Act,0,Aug-20
106102137,KARNATAKA STATE LOCAL ACTS,,Karnataka Open Place Disfigurement Act 1951,42,Aug-20
507525817,KARNATAKA STATE LOCAL ACTS,,Karnataka Right To Information Act 2000 & 2008,0,Aug-20
750464118,KARNATAKA STATE LOCAL ACTS,,Karnataka Urban Development Act 1987,0,Aug-20
980170450,KARNATAKA STATE LOCAL ACTS,,Karnataka Town & City Planning Act 1961,0,Aug-20
550348681,KARNATAKA STATE LOCAL ACTS,,Karnataka Race Betting Act,0,Aug-20
179075692,KARNATAKA STATE LOCAL ACTS,,"Karnataka Devadasi's (Prohibition Of Dedication)Act 1982",0,Aug-20
871428571,KARNATAKA STATE LOCAL ACTS,,Cooperative Society Act,0,Aug-20
842752420,KARNATAKA STATE LOCAL ACTS,,Karnataka Entertainment Tax Act 1958,0,Aug-20
623330597,KARNATAKA STATE LOCAL ACTS,,Karnataka Land Acquisition (Prohibition) Act 2007,1,Aug-20
658481875,KARNATAKA STATE LOCAL ACTS,,Karnataka Money Lender Act 1961,1,Aug-20
648046554,KARNATAKA STATE LOCAL ACTS,,Karnataka Stamp Act 1957,0,Aug-20
600754444,KARNATAKA STATE LOCAL ACTS,,Karnataka Prisoners Act 1963 & 1974,0,Aug-20
190524419,KARNATAKA STATE LOCAL ACTS,,Karnataka Private Medical Institution Act 2007,1,Aug-20
